PGIns2 / PGUni2,PGIns_Class
MANIPUR UNIVERSITY,TIER_3
MANONMANIAM SUNDARANAR UNIV,UNKNOWN
MATA RECORD OF ALL ACTIVITIES UNDERTAKEN  RESPECT OF THE BUSESS,UNKNOWN
MATRIX SCHOOL OF MGMT STUDIES,UNKNOWN
MBAOTHER CAMPUS,UNKNOWN
MDI Gurgaon,UNKNOWN
MET College,TIER_3
"Mgmt Studies-MNNIT, Allahabad",TIER_3
MGT EDUCATION & RESEARCH INST,TIER_2
MISS HILL SCHOOL,UNKNOWN
MIT SCHOOL OF BUSINESS,TIER_3
MIT SCHOOL OF BUSINESS PUNE,TIER_3
"MIT, Pune",TIER_3
"MITCON INST OF MGMT, PUNE",TIER_3
MODY INST OF INFO TECH SCI UNI,UNKNOWN
MOHAN LAL SUKHADIA UNIVERSITY,TIER_3
MSG COLLEGE,UNKNOWN
Mumbai,UNKNOWN
MUMBAI UNIVERSITY,UNKNOWN
MYSORE UNIVERSITY,TIER_3
N M S S V N COLLEGE,UNKNOWN
n s K colry RaFdhan uni€Eily,UNKNOWN
NAGALAND UNIVERSITY,UNKNOWN
NAGPUR UNIVERSITY,UNKNOWN
NALANDA OPEN UNIVERSITY,UNKNOWN
NATIONAL ENDUCATION MANAGEMENT,UNKNOWN
NATIONAL INS OF BUSI MGT CHENN,TIER_2
NATIONAL INST OF BUS MGMT,TIER_2
NATIONAL INST OF BUSINESS MGMT,TIER_2
NATIONAL INST OF BUSS MGT,TIER_2
NATIONAL INST OF IT,UNKNOWN
NATIONAL INST OF MGMT,UNKNOWN
"NATIONAL INST OF TECH,KURUKSHE",TIER_1
NATIONAL INST ON BANK MGT,TIER_2
NATIONAL INSTITUTE OF AGRI MKT,TIER_2
NAVSARI AGRICULTURAL UNI,UNKNOWN
NEW DELHI INST OF MANAGEMENT,UNKNOWN
NEW DELHI INST OF MGT,UNKNOWN
NEWPORT UNIVERSITY,UNKNOWN
NIILM SCHOOL,TIER_3
NIILM SCHOOL OF BUSINESS DELHI,TIER_3
"NIILM, Delhi",TIER_3
NIM,UNKNOWN
NIMS UNIVERSITY RAJASTHAN,UNKNOWN
NIRMA UNIVERSITY,TIER_2
"Nirma University Institute of Management (NIRMA), Ahmedabad",TIER_2
NIS ACADEMY,UNKNOWN
NISM,UNKNOWN
NIT-ALL OTH NOT LISTED ABOVE,UNKNOWN
"NLSIU, Bangalore",UNKNOWN
NMIMS MUK PATEL SCH TEC MGT EN,TIER_2
"NMIMS, MUMBAI",TIER_1
NMIMS-HYDERABAD,TIER_1
NORTH BENGAL UNIVERSITY,UNKNOWN
NORTH GUJARAT UNIVERSITY,UNKNOWN
NORTH MAHARASHTRA UNIVERSITY,UNKNOWN
