Previous Designation,Prev_Desig_Class
" AREA MANAGER-SALES &amp; SERVICE,SALES MANAGER",SALES MANAGER
 AREA MARKETING MANAGER,SALES MANAGER
 AREA OPERATIONS MANAGER,OPERATIONS MANAGER
 AREA SALES MANAGER,SALES MANAGER
" Area Sales Manager,AREA SALES MANAGER",SALES MANAGER
" AREA SALES MANAGER,AREA SALES MANAGER,RELATIONSHIP MANAGER,MANAGER",RELATIONSHIP MANAGER
" AREA SALES MANAGER,BRANCH MANAGER",BRANCH MANAGER
" AREA SALES MANAGER,DEPUTY MANAGER,AREA SALES MANAGER",SALES MANAGER
" AREA SALES MANAGER,DEVELOPMENT MANAGER,EXECUTIVE",SALES MANAGER
" AREA SALES MANAGER,EXECUTIVE,EXECUTIVE,BRANCH MANAGER",BRANCH MANAGER
" AREA SALES MANAGER,MANAGER,AREA MANAGER,MANAGER,MANAGER,BRANCH SALES MANAGER,ASSISTANT,ASSISTANT,MANAGER,ASSOCIATE",SALES MANAGER
" AREA SALES MANAGER,MANAGER,CHIEF MANAGER",SALES MANAGER
" AREA SALES MANAGER,OFFICER,MANAGER,ASSISTANT,DEVELOPMENT OFFICER",SALES MANAGER
" AREA SALES MANAGER,OFFICER,OFFICER",SALES MANAGER
 AREA SOLUTION MANAGER,SALES MANAGER
 ASM,SALES MANAGER
 ass,SALES MANAGER
 ASSET BRANCH HEAD,SALES MANAGER
" ASSET BRANCH HEAD,ASSET BRANCH HEAD",BRANCH MANAGER
" ASSET BRANCH HEAD,ASSISTANT",BRANCH MANAGER
" ASSET BRANCH HEAD,ASSISTANT MANAGER,CUSTOMER SERVICE",BRANCH MANAGER
" ASSET BRANCH HEAD,BRANCH MANAGER,EXECUTIVE",BRANCH MANAGER
" ASSET BRANCH HEAD,CUSTOMER SERVICE",BRANCH MANAGER
" ASSET BRANCH HEAD,TERRITORY COLLECTION MANAGER",BRANCH MANAGER
 ASSET DESK MANAGER,MANAGER
 ASSET MANAGER,WEALTH MANAGER
" ASSET MANAGER,ASSET MANAGER",WEALTH MANAGER
" ASSET MANAGER,ASSET MANAGER,EXECUTIVE",WEALTH MANAGER
" ASSET MANAGER,DEPUTY MANAGER",WEALTH MANAGER
" ASSET MANAGER,EXECUTIVE,EXECUTIVE,EXECUTIVE",WEALTH MANAGER
" ASSET MANAGER,EXECUTIVE,EXECUTIVE,RM",WEALTH MANAGER
" ASSET MANAGER,EXECUTIVE,MANAGER",WEALTH MANAGER
" ASSET MANAGER,MANAGER",WEALTH MANAGER
" ASSET MANAGER,PB",WEALTH MANAGER
" ASSET MANAGER,PB,ASSET MANAGER",WEALTH MANAGER
" ASSET MANAGER,TEAM LEAD",WEALTH MANAGER
 Assisitant Manager,ASSISTANT MANAGER
 ASSISTANT,UNKNOWN
 Assistant Branch Manager,DEPUTY BRANCH MANAGER
