Previous Employer,Prev_Empl_Class
" Angel Broking Limited,HDFC Bank Ltd",BANKING/BFSI
" Angel Broking Ltd,HDFC Bank Ltd,Gitanjali Trust,Airtel Agency payroll of Aqueo,Kotak Mahindra Bank",BANKING/BFSI
" Angel broking ltd,IIFL,JhaverI sec,Kotak securities",BANKING/BFSI
" ANGEL BROKING LTD,INDITRADE CAPITAL LTD",BANKING/BFSI
" Angel Broking ltd,Karvy stock broking ltd,Profile",BANKING/BFSI
" ANGEL BROKING LTD,kellton securities ltd,Geojit BNP  paribas,Religare securities Ltd",BANKING/BFSI
" ANGEL BROKING LTD,Reliance Securities Ltd,MAGNA PUBLISHING COMPANY PVT LTD,Edelweiss Broking Ltd",BANKING/BFSI
" Angel Broking Ltd,Sbicap Securities Ltd,HDFC BANK LTD",BANKING/BFSI
" Angel Broking Ltd,The Jalgaon Peoples Coop Bank Ltd,Disha bahuudeshiya sanstha",BANKING/BFSI
 Angel Broking Ltd.,BANKING/BFSI
" ANGEL BROKING PVT LTD,ORION BROKING INDIA PVT LTD,HDFC BANK LTD",BANKING/BFSI
 Angel Broking Pvt. Ltd,BANKING/BFSI
 Anglo Eastern ship management ltd,NON BANKING
 ANI Technology PTV. LTD,NON BANKING
" ANIL ANCHALIA  CO,ANIL ANCHALIA  CO,AXIS BANK LTD.",BANKING/BFSI
" Anjel rehabe and mediqvips uda,diya fabrics,Idea cellular LTD,",NON BANKING
" Annapurna Microfinance (P) Ltd,Share Microfin Limited,India Infoline Finance Limited,Janalakshmi Financial Servises Ltd",BANKING/BFSI
 ANNASAHEB MAGAR SAHAKARI BANK LTD,BANKING/BFSI
 Ansar enterprises,NON BANKING
" ANUPAM SYNTHITICS PVT LTD,HDFC Bank Ltd,ICICI Prudential Life Insurance Company Ltd,HDB Financial Services Ltd,CEASE FIRE INDUSTRIES LTD,KOTAK MAHINDRA BANK LTD",BANKING/BFSI
 ANZ,NON BANKING
 ANZ SUPPORT SERVICE INDIA PVT LTD,NON BANKING
 ANZ Support Services India Pvt Ltd,NON BANKING
" AOL Online,IBM Daksh,Hewlett Packward,Yes Bank Ltd",BANKING/BFSI
 AON HEWITT,NON BANKING
 Apex Visas,NON BANKING
 Apna Sahakari Bank LTD,BANKING/BFSI
" Apollo Dental Centre,ADFC Pvt. Ltd,Standard Charted Bank Ltd,HDFC Bank Ltd",BANKING/BFSI
 APOLLO FINVEST,BANKING/BFSI
" apollo healthcity,bank of america  india pvt ltd",BANKING/BFSI
 Apollo munich health insurance,BANKING/BFSI
" Apollo Munich Health Insurance Co Ltd,Birla Sun Life Insurance Company Ltd",BANKING/BFSI
" APOLLO SINDHOORI CAPITAL INVESTMENTS LTD,ANNAMALAI CAPITAL SERVICES PVT LTD",BANKING/BFSI
" Apollo Sindhoori Capital Investments Ltd,INTIME Equities Limited and Fortune Integrated Fin,Audit  Mutual Fund,Quality,Fortune Integrated Finance Asset Limited",NBFC
 APOLLO TYRES LTD,NON BANKING
 APOOLO MUNICH,BANKING/BFSI
 APPSGRAM,NON BANKING
 APRAIL,NON BANKING
 APS GROUP,NON BANKING
 Aptara New Media Pvt. Ltd,NON BANKING
" AQUA GREEN CLUB,ICICI PRUDENTIAL LIFE INSURANCE CO LIMITED",BANKING/BFSI
" Aquafina,HDFC Bank, Jagdalpur ONROL..",BANKING/BFSI
 AR soft techonologies,NON BANKING
 ARCA SAFETY PVT LTD,NON BANKING
" ARCGATE,Sundaram Finance Ltd,Sundaram Finance Ltd.",BANKING/BFSI
 arham shares and consultant pvt.ltd.,NON BANKING
 ARISE HYUNDAI,NON BANKING
" Arna Bakers (P) Ltd, Raipur",NON BANKING
 AROHAN FINANCIAL SERVICES PVT LTD,BANKING/BFSI
 AROHAN MICRO FINANCE,BANKING/BFSI
" ARSS  Co. , Varanasi, UP",NON BANKING
 ARTH INSTITUTE,NON BANKING
" Articleship training S. Basu Associates,Aneja Associates,K. Agrawal amp; Co",NON BANKING
" ARUPPAM TECHNO SOLUTIONS,SATHYAM Group Of Companies",NON BANKING
 ARVIND AGRAWAL AND ASSOCIATES,NON BANKING
 Arvind dairy Pvt Ltd.,NON BANKING
 Arvind. Sol. Oil Ind. On roll,NON BANKING
" Arya mahila vidhyapeeth, bhusawar, bharatpur, raj",NON BANKING
" as a Smriti Nagrik Sahakari Bank,outsourcing State Bank",BANKING/BFSI
" asBanker HDFC Bank posted Meerut.,ING Vysya Bank Ltd,Axis Bank ltd",BANKING/BFSI
" asBusiness Development Koyambedu (Chennai) Branch,axis bank,Axis Bank Ltd",BANKING/BFSI
 asdasd,NON BANKING
" AsGroup of ICICI Bank Ltd,DCB Bank Ltd",BANKING/BFSI
 Ashiana Housing Limited,NON BANKING
